Unnamed: 0,Pickup_Date,Number of Trips,Number of Vehicles,humidity,wind,price,month,day
96,2005-04-07,11, -   ,0.71,11.17,25,4,Thursday
97,2005-04-08,76,43,0.69,11.11,12,4,Friday
98,2005-04-09,726,88,0.69,11.13,12,4,Saturday
99,2005-04-10,1,1,0.69,11.07,18.5,4,Sunday
100,2005-04-11,448,85,0.7,10.99,11,4,Monday
101,2005-04-12,22,9,0.71,11.19,32.5,4,Tuesday
102,2005-04-13,41,33,0.7,11.12,11,4,Wednesday
103,2005-04-14,11,7,0.69,11.06,27,4,Thursday
104,2005-04-15,7,7,0.69,10.03,12,4,Friday
105,2005-04-16,806,87,0.67,10.1,18.5,4,Saturday
106,2005-04-17,123,56,0.7,10.01,11,4,Sunday
107,2005-04-18,8,4,0.76,2.47,12,4,Monday
108,2005-04-19,12,12,0.76,2.43,8.5,4,Tuesday
109,2005-04-20,38,29,0.76,2.43,35,4,Wednesday
110,2005-04-21,15,7,0.8,2.52,8,4,Thursday
111,2005-04-22,6,3,0.76,2.52,11,4,Friday
112,2005-04-23,7,5,0.76,2.53,13,4,Saturday
113,2005-04-24,49,1,0.76,2.51,8,4,Sunday
114,2005-04-25,1122,111,0.76,2.45,27,4,Monday
115,2005-04-26,114,53,0.76,2.5,17,4,Tuesday
116,2005-04-27,62,34,0.82,5.36,8,4,Wednesday
117,2005-04-28,126,62,0.82,5.37,13.5,4,Thursday
118,2005-04-29,1127,43,0.82,5.29,23.5,4,Friday
119,2005-04-30,21,18,0.83,5.33,14,4,Saturday
120,2005-05-01,1053,82,0.82,5.42,34,5,Sunday
121,2005-05-02,345,64,0.83,5.39,26.5,5,Monday
122,2005-05-03,75,48,0.83,5.4,14,5,Tuesday
123,2005-05-04,964,125,0.83,5.37,11,5,Wednesday
124,2005-05-05,267,114,0.83,5.37,26.5,5,Thursday
125,2005-05-06,103,43,0.82,5.43,12,5,Friday
126,2005-05-07,1804,151,0.83,5.41,11,5,Saturday
127,2005-05-08,58,27,0.83,5.37,19.5,5,Sunday
128,2005-05-09,135,29,0.73,5.55,12,5,Monday
129,2005-05-10,1,1,0.73,5.41,38.5,5,Tuesday
130,2005-05-11,1333,117,0.72,5.6,12,5,Wednesday
131,2005-05-12,93,46,0.72,5.6,23,5,Thursday
132,2005-05-13,9,7,0.73,5.56,30.5,5,Friday
133,2005-05-14,6,3,0.73,5.57,10.5,5,Saturday
134,2005-05-15,161,61,0.52,17.96,10.5,5,Sunday
135,2005-05-16,2033,616,0.53,17.88,11,5,Monday
136,2005-05-17,718,68,0.52,17.81,17.5,5,Tuesday
137,2005-05-18,722,59,0.52,18.11,10,5,Wednesday
138,2005-05-19,1,1,0.53,18.16,22.5,5,Thursday
139,2005-05-20,829,88,0.53,18.18,7,5,Friday
140,2005-05-21,846,83,0.53,18.09,13.5,5,Saturday
141,2005-05-22,160,82,0.54,17.84,16.5,5,Sunday
142,2005-05-23,528,56,0.52,18.08,27.5,5,Monday
143,2005-05-24,53,33,0.53,18.04,9,5,Tuesday
144,2005-05-25,1042,67,0.53,18.12,9,5,Wednesday
145,2005-05-26,1546,147,0.6,5.11,30,5,Thursday
146,2005-05-27,853,115,0.6,5.16,16.5,5,Friday
147,2005-05-28,444,75,0.6,5.02,13.5,5,Saturday
148,2005-05-29,5,5,0.6,5.03,22.5,5,Sunday
149,2005-05-30,1584,140,0.6,5.21,7,5,Monday
150,2005-05-31,1004,137,0.6,5.22,14,5,Tuesday
151,2005-06-01,840,114,0.6,5.24,20.5,6,Wednesday
152,2005-06-02,32,19,0.6,5.2,9.5,6,Thursday
153,2005-06-03,2720,192,0.6,5.06,9.5,6,Friday
154,2005-06-04,81,15,0.6,5.2,8.5,6,Saturday
155,2005-06-05,387,52,0.6,5.17,11,6,Sunday
156,2005-06-06,826,122,0.6,5.19,13.5,6,Monday
157,2005-06-07,10, -   ,0.88,5.93,26,6,Tuesday
158,2005-06-08,75,49,0.89,6.03,16.5,6,Wednesday
159,2005-06-09,874,83,0.92,3.01,11,6,Thursday
160,2005-06-10,238,69,0.92,3.02,16.5,6,Friday
161,2005-06-11,32,13,0.93,3.06,13.5,6,Saturday
162,2005-06-12,42,28,0.93,3.1,5,6,Sunday
163,2005-06-13,12,5,0.93,2.69,27.5,6,Monday
164,2005-06-14,4,4,0.93,2.71,7,6,Tuesday
165,2005-06-15,836,86,0.93,2.66,10.5,6,Wednesday
166,2005-06-16,82,36,0.94,2.75,11,6,Thursday
167,2005-06-17,24,5,0.54,10.66,12,6,Friday
168,2005-06-18,6,6,0.54,10.74,36.5,6,Saturday
169,2005-06-19,56,30,0.54,10.55,20.5,6,Sunday
170,2005-06-20,13,6,0.55,10.54,12.5,6,Monday
171,2005-06-21,5,2,0.54,10.8,12.5,6,Tuesday
172,2005-06-22,1,1,0.54,10.81,27,6,Wednesday
173,2005-06-23,56,1,0.54,10.84,7,6,Thursday
174,2005-06-24,1281,110,0.54,10.8,3,6,Friday
175,2005-06-25,136,51,0.55,10.59,13.5,6,Saturday
176,2005-06-26,76,42,0.54,10.79,16.5,6,Sunday
177,2005-06-27,108,61,0.55,10.74,10.5,6,Monday
178,2005-06-28,1230,39,0.55,10.77,27.5,6,Tuesday
179,2005-06-29,16,14,0.56,2.34,16.5,6,Wednesday
180,2005-06-30,733,76,0.56,2.36,7,6,Thursday
181,2005-07-01,224,50,0.56,2.31,5,7,Friday
182,2005-07-02,118,61,0.56,2.38,13.5,7,Saturday
183,2005-07-03,877,108,0.56,2.38,27.5,7,Sunday
184,2005-07-04,310,140,0.56,2.36,10.5,7,Monday
185,2005-07-05,69,35,0.92,2.67,11,7,Tuesday
186,2005-07-06,1539,131,0.92,2.78,13,7,Wednesday
187,2005-07-07,71,34,0.92,2.97,33.5,7,Thursday
188,2005-07-08,102,22,0.92,2.91,23,7,Friday
189,2005-07-09,2,2,0.93,1.56,11,7,Saturday
190,2005-07-10,1082,98,0.58,12.97,9.5,7,Sunday
191,2005-07-11,104,51,0.59,13.08,17.5,7,Monday
192,2005-07-12,18,12,0.58,13.04,11,7,Tuesday
193,2005-07-13,3,1,0.59,13.07,29.5,7,Wednesday
194,2005-07-14,206,74,0.58,12.92,9.5,7,Thursday
195,2005-07-15,2197,653,0.58,13.16,15,7,Friday
196,2005-07-16,556,70,0.59,13.12,11,7,Saturday
197,2005-07-17,578,57,0.58,13.14,27,7,Sunday
198,2005-07-18,713,83,0.59,13.09,19.5,7,Monday
199,2005-07-19,805,84,0.59,13.03,17.5,7,Tuesday
200,2005-07-20,149,91,0.58,13.17,10,7,Wednesday
201,2005-07-21,447,55,0.59,13.12,14,7,Thursday
202,2005-07-22,36,23,0.92,2.95,10.5,7,Friday
203,2005-07-23,943,64,0.93,3.06,10.5,7,Saturday
204,2005-07-24,1374,136,0.83,5.65,9.5,7,Sunday
205,2005-07-25,759,109,0.83,5.65,9,7,Monday
206,2005-07-26,442,79,0.83,5.57,30,7,Tuesday
207,2005-07-27,1382,130,0.84,5.61,3.5,7,Wednesday
208,2005-07-28,741,106,0.82,5.71,16.5,7,Thursday
209,2005-07-29,668,108,0.84,5.68,22.5,7,Friday
210,2005-07-30,37,23,0.84,5.69,13.5,7,Saturday
211,2005-07-31,2107,176,0.84,5.66,7,7,Sunday
212,2005-08-01,62,12,0.84,5.65,16.5,8,Monday
213,2005-08-02,378,51,0.82,5.72,32.5,8,Tuesday
214,2005-08-03,688,114,0.84,5.69,19.5,8,Wednesday
215,2005-08-04,11, -   ,0.84,5.66,10.5,8,Thursday
216,2005-08-05,103,53,0.89,3.93,22.5,8,Friday
217,2005-08-06,767,72,0.89,3.96,15,8,Saturday
218,2005-08-07,1,1,0.9,3.98,11,8,Sunday
219,2005-08-08,60,30,0.89,3.93,12,8,Monday
220,2005-08-09,38,14,0.89,3.92,21.5,8,Tuesday
221,2005-08-10,48,36,0.88,3.97,15,8,Wednesday
222,2005-08-11,25,11,0.88,3.97,23.5,8,Thursday
223,2005-08-12,3,3,0.88,3.99,35,8,Friday
224,2005-08-13,683,79,0.89,3.89,7,8,Saturday
225,2005-08-14,103,46,0.89,3.89,11,8,Sunday
226,2005-08-15,26,7,0.89,3.91,16.5,8,Monday
227,2005-08-16,48,28,0.88,3.98,5,8,Tuesday
228,2005-08-17,11,6,0.71,7.22,26,8,Wednesday
229,2005-08-18,3,2,0.71,7.42,9,8,Thursday
230,2005-08-19,4,4,0.71,7.29,38,8,Friday
231,2005-08-20,50,1,0.77,6.55,22.5,8,Saturday
232,2005-08-21,1069,108,0.79,6.52,7,8,Sunday
233,2005-08-22,138,52,0.63,1.79,11,8,Monday
234,2005-08-23,292,99,0.63,1.78,19.5,8,Tuesday
235,2005-08-24,441,144,0.63,1.79,26,8,Wednesday
236,2005-08-25,1174,46,0.63,1.8,8.5,8,Thursday
237,2005-08-26,72,50,0.62,1.78,18,8,Friday
238,2005-08-27,399,77,0.63,1.77,10.5,8,Saturday
239,2005-08-28,524,79,0.63,1.77,23,8,Sunday
240,2005-08-29,326,134,0.63,1.77,12,8,Monday
241,2005-08-30,1176,126,0.63,1.81,33,8,Tuesday
242,2005-08-31,942,296,0.62,1.79,10.5,8,Wednesday
243,2005-09-01,222,81,0.63,1.79,10.5,9,Thursday
244,2005-09-02,1664,142,0.63,1.77,32,9,Friday
245,2005-09-03,220,76,0.84,6.74,23,9,Saturday
246,2005-09-04,348,76,0.84,6.69,10.5,9,Sunday
247,2005-09-05,7,4,0.84,6.79,22.5,9,Monday
248,2005-09-06,1112,116,0.85,6.74,27.5,9,Tuesday
249,2005-09-07,440,147,0.82,6.83,16.5,9,Wednesday
250,2005-09-08,22,17,0.85,6.8,13.5,9,Thursday
251,2005-09-09,16,6,0.89,14.24,38.5,9,Friday
252,2005-09-10,313,116,0.89,14.34,9.5,9,Saturday
253,2005-09-11,2427,761,0.89,14.08,21.5,9,Sunday
254,2005-09-12,587,68,0.9,14.1,9.5,9,Monday
255,2005-09-13,595,61,0.9,10.17,30.5,9,Tuesday
256,2005-09-14,685,87,0.89,14.44,17,9,Wednesday
257,2005-09-15,798,97,0.91,10.21,11,9,Thursday
258,2005-09-16,559,230,0.9,14.41,9.5,9,Friday
259,2005-09-17,397,58,0.9,14.16,7.5,9,Saturday
260,2005-09-18,202,69,0.88,14.42,7.5,9,Sunday
261,2005-09-19,1080,70,0.91,10.15,6.5,9,Monday
262,2005-09-20,1264,149,0.9,14.38,26.5,9,Tuesday
263,2005-09-21,802,113,0.66,4.26,11,9,Wednesday
264,2005-09-22,865,106,0.66,4.28,11.5,9,Thursday
265,2005-09-23,11,11,0.66,4.24,17,9,Friday
266,2005-09-24,1287,141,0.67,4.29,34,9,Saturday
267,2005-09-25,1194,153,0.66,4.31,7,9,Sunday
268,2005-09-26,773,113,0.66,4.23,9,9,Monday
269,2005-09-27,190,63,0.67,4.28,13.5,9,Tuesday
270,2005-09-28,1985,184,0.66,4.27,19.5,9,Wednesday
271,2005-09-29,87,15,0.66,4.3,16.5,9,Thursday
272,2005-09-30,386,50,0.86,6.09,16.5,9,Friday
273,2005-10-01,673,126,0.86,5.91,27.5,10,Saturday
274,2005-10-02,8, -   ,0.86,5.97,7,10,Sunday
275,2005-10-03,257,105,0.86,6.22,10.5,10,Monday
276,2005-10-04,1200,111,0.86,6.25,32.5,10,Tuesday
277,2005-10-05,45,23,0.86,6.18,22.5,10,Wednesday
278,2005-10-06,479,94,0.85,6.05,5,10,Thursday
279,2005-10-07,78,32,0.85,6.27,27.5,10,Friday
280,2005-10-08,147,75,0.85,6.2,7,10,Saturday
281,2005-10-09,65,26,0.86,6.16,10.5,10,Sunday
282,2005-10-10,19,13,0.65,3.26,13.5,10,Monday
283,2005-10-11,692,87,0.65,3.2,16.5,10,Tuesday
284,2005-10-12,213,76,0.65,3.37,13,10,Wednesday
285,2005-10-13,42,10,0.66,3.36,11.5,10,Thursday
286,2005-10-14,10,10,0.63,3.15,19.5,10,Friday
287,2005-10-15,139,72,0.65,3.15,11.5,10,Saturday
288,2005-10-16,16,8,0.65,3.13,18,10,Sunday
289,2005-10-17,20,7,0.65,3.16,9,10,Monday
290,2005-10-18,6,5,0.66,3.31,31.5,10,Tuesday
291,2005-10-19,122,1,0.63,3.15,32.5,10,Wednesday
292,2005-10-20,1015,110,0.65,3.19,7,10,Thursday
293,2005-10-21,195,60,0.66,3.18,19.5,10,Friday
294,2005-10-22,414,107,0.63,9.24,16.5,10,Saturday
295,2005-10-23,593,159,0.63,9.24,27.5,10,Sunday
296,2005-10-24,1181,50,0.63,9.16,10.5,10,Monday
297,2005-10-25,94,53,0.61,9.3,8.5,10,Tuesday
298,2005-10-26,420,79,0.63,9.26,11,10,Wednesday
299,2005-10-27,553,76,0.63,9.27,8.5,10,Thursday
300,2005-10-28,417,141,0.63,9.24,8.5,10,Friday
301,2005-10-29,1082,125,0.63,9.25,13.5,10,Saturday
302,2005-10-30,1199,288,0.61,9.31,18,10,Sunday
303,2005-10-31,213,77,0.63,9.29,28.5,10,Monday
304,2005-11-01,1762,148,0.63,9.24,19.5,11,Tuesday
305,2005-11-02,285,82,0.9,11.25,7,11,Wednesday
306,2005-11-03,347,74,0.9,11.3,16.5,11,Thursday
307,2005-11-04,7,5,0.9,11.13,32.5,11,Friday
308,2005-11-05,1259,112,0.91,11.15,22.5,11,Saturday
309,2005-11-06,493,140,0.87,11.38,10.5,11,Sunday
310,2005-11-07,29,23,0.9,11.37,27.5,11,Monday
311,2005-11-08,15,7,0.9,11.39,16.5,11,Tuesday
312,2005-11-09,381,141,0.9,11.35,5,11,Wednesday
313,2005-11-10,2246,682,0.91,11.2,7,11,Thursday
314,2005-11-11,621,71,0.88,11.38,13.5,11,Friday
315,2005-11-12,608,61,0.9,11.33,10.5,11,Saturday
316,2005-11-13,747,84,0.9,11.33,9,11,Sunday
317,2005-11-14,773,91,0.64,2.32,9,11,Monday
318,2005-11-15,759,228,0.63,2.3,28.5,11,Tuesday
319,2005-11-16,393,56,0.61,2.36,8.5,11,Wednesday
320,2005-11-17,265,83,0.65,2.35,19.5,11,Thursday
321,2005-11-18,955,67,0.65,2.35,11,11,Friday
322,2005-11-19,1309,146,0.64,2.31,7,11,Saturday
323,2005-11-20,733,112,0.9,10.93,26,11,Sunday
324,2005-11-21,930,103,0.9,11.01,34,11,Monday
325,2005-11-22,13,13,0.9,10.69,22.5,11,Tuesday
326,2005-11-23,1438,145,0.91,10.76,7,11,Wednesday
327,2005-11-24,1476,157,0.88,11.17,16.5,11,Thursday
328,2005-11-25,842,107,0.9,11.11,22.5,11,Friday
329,2005-11-26,214,67,0.9,11.15,13.5,11,Saturday
330,2005-11-27,2251,191,0.91,11.06,27.5,11,Sunday
331,2005-11-28,88,16,0.91,10.88,9,11,Monday
332,2005-11-29,369,53,0.88,11.18,10.5,11,Tuesday
333,2005-11-30,708,123,0.91,11.09,16.5,11,Wednesday
334,2005-12-01,9, -   ,0.91,11.03,10.5,12,Thursday
335,2005-12-02,369,120,0.55,4.88,27.5,12,Friday
336,2005-12-03,1240,123,0.56,4.93,3,12,Saturday
337,2005-12-04,55,25,0.55,4.73,7,12,Sunday
338,2005-12-05,475,91,0.55,4.77,11,12,Monday
339,2005-12-06,104,25,0.56,5,33,12,Tuesday
340,2005-12-07,198,74,0.56,5.03,24,12,Wednesday
341,2005-12-08,88,27,0.56,4.97,8,12,Thursday
342,2005-12-09,11,8,0.55,4.85,18,12,Friday
343,2005-12-10,743,88,0.56,4.98,11,12,Saturday
344,2005-12-11,242,90,0.56,4.95,11,12,Sunday
345,2005-12-12,36,8,0.91,1.29,27,12,Monday
346,2005-12-13,8,8,0.92,1.35,7,12,Tuesday
347,2005-12-14,201,76,0.92,1.35,16,12,Wednesday
348,2005-12-15,14,8,0.7,9.72,11,12,Thursday
349,2005-12-16,15,4,0.7,9.74,8.5,12,Friday
350,2005-12-17,8,7,0.7,9.6,8.5,12,Saturday
351,2005-12-18,151,1,0.7,9.63,12.5,12,Sunday
352,2005-12-19,1116,105,0.75,9.79,16,12,Monday
353,2005-12-20,233,68,0.7,9.78,8.5,12,Tuesday
354,2005-12-21,412,106,0.7,9.8,11,12,Wednesday
355,2005-12-22,638,164,0.7,9.75,21.5,12,Thursday
356,2005-12-23,814,44,0.7,9.72,29,12,Friday
357,2005-12-24,117,63,0.75,9.84,8.5,12,Saturday
358,2005-12-25,447,82,0.7,9.8,8,12,Sunday
359,2005-12-26,546,76,0.7,9.75,26,12,Monday
360,2005-12-27,473,152,0.7,9.46,7,12,Tuesday
361,2005-12-28,1097,130,0.7,9.47,7,12,Wednesday
362,2005-12-29,1312,304,0.69,9.37,16,12,Thursday
363,2005-12-30,240,81,0.7,9.42,7.5,12,Friday
364,2005-12-31,1723,146,0.7,9.54,11.5,12,Saturday
365,2006-01-01,314,84,0.7,9.5,11,1,Sunday
366,2006-01-02,403,80,0.7,9.52,30.5,1,Monday
367,2006-01-03,5,3,0.71,9.48,11.5,1,Tuesday
368,2006-01-04,1373,114,0.71,9.47,15,1,Wednesday
369,2006-01-05,556,139,0.7,9.55,19.5,1,Thursday
370,2006-01-06,38,26,0.71,9.52,11.5,1,Friday
371,2006-01-07,22,8,0.71,9.47,11,1,Saturday
372,2006-01-08,387,146,0.79,2.33,8.5,1,Sunday
373,2006-01-09,2136,683,0.79,2.32,11,1,Monday
374,2006-01-10,491,71,0.79,2.29,22.5,1,Tuesday
375,2006-01-11,605,60,0.79,2.32,38,1,Wednesday
376,2006-01-12,720,82,0.79,2.32,30,1,Thursday
377,2006-01-13,849,94,0.79,2.33,7,1,Friday
378,2006-01-14,843,247,0.79,2.31,19.5,1,Saturday
379,2006-01-15,500,63,0.79,2.35,26,1,Sunday
380,2006-01-16,273,82,0.81,2.38,34,1,Monday
381,2006-01-17,1064,70,0.79,2.36,7,1,Tuesday
382,2006-01-18,1377,154,0.79,2.31,19.5,1,Wednesday
383,2006-01-19,810,115,0.7,9.55,9,1,Thursday
384,2006-01-20,1108,103,0.79,7.5,16.5,1,Friday
385,2006-01-21,14,14,0.53,17.84,7,1,Saturday
386,2006-01-22,1475,149,0.7,9.91,10.5,1,Sunday
387,2006-01-23,1571,163,0.7,10.04,10.5,1,Monday
388,2006-01-24,905,111,0.7,9.6,27.5,1,Tuesday
389,2006-01-25,237,69,0.67,10.23,16.5,1,Wednesday
390,2006-01-26,2371,193,0.67,10.16,3,1,Thursday
391,2006-01-27,98,15,0.7,10.06,9,1,Friday
392,2006-01-28,346,54,0.7,10.1,16,1,Saturday
393,2006-01-29,763,131,0.91,1.09,23,1,Sunday
394,2006-01-30,9, -   ,0.92,1.11,31,1,Monday
395,2006-01-31,400,127,0.92,1.27,9.5,1,Tuesday
396,2006-02-01,1291,118,0.92,1.22,11,2,Wednesday
397,2006-02-02,52,19,0.51,14.95,9.5,2,Thursday
398,2006-02-03,515,101,0.7,3.73,7.5,2,Friday
399,2006-02-04,142,35,0.7,3.72,26,2,Saturday
400,2006-02-05,209,69,0.7,3.68,16,2,Sunday
401,2006-02-06,77,25,0.71,3.72,11,2,Monday
402,2006-02-07,28,17,0.7,3.76,7,2,Tuesday
403,2006-02-08,807,86,0.7,3.73,7,2,Wednesday
404,2006-02-09,305,94,0.7,3.73,11.5,2,Thursday
405,2006-02-10,28,8,0.7,3.71,7,2,Friday
406,2006-02-11,9,9,0.71,3.75,32.5,2,Saturday
407,2006-02-12,241,86,0.7,3.75,27.5,2,Sunday
408,2006-02-13,14,8,0.7,3.71,7,2,Monday
409,2006-02-14,23,6,0.73,0.83,10.5,2,Tuesday
410,2006-02-15,7,6,0.73,0.83,16.5,2,Wednesday
411,2006-02-16,181,1,0.57,10.34,10.5,2,Thursday
412,2006-02-17,1165,112,0.57,10.37,22.5,2,Friday
413,2006-02-18,242,76,0.57,10.25,16.5,2,Saturday
414,2006-02-19,484,111,0.57,10.27,13.5,2,Sunday
415,2006-02-20,686,172,0.57,10.43,32.5,2,Monday
416,2006-02-21,918,47,0.57,10.42,22.5,2,Tuesday
417,2006-02-22,113,60,0.57,10.43,12,2,Wednesday
418,2006-02-23,341,84,0.57,10.4,10.5,2,Thursday
419,2006-02-24,540,80,0.57,10.31,34,2,Friday
420,2006-02-25,555,153,0.57,10.43,23,2,Saturday
421,2006-02-26,1126,130,0.57,10.4,10.5,2,Sunday
422,2006-02-27,1496,320,0.57,10.39,16,2,Monday
423,2006-02-28,306,83,0.83,5.89,10,2,Tuesday
424,2006-03-01,1809,149,0.84,5.88,13,3,Wednesday
425,2006-03-02,332,87,0.83,5.81,27.5,3,Thursday
426,2006-03-03,370,82,0.84,5.82,9,3,Friday
427,2006-03-04,4,2,0.81,5.97,16,3,Saturday
428,2006-03-05,1246,115,0.84,5.91,9,3,Sunday
429,2006-03-06,611,140,0.84,5.93,9,3,Monday
430,2006-03-07,36,26,0.84,5.89,14,3,Tuesday
431,2006-03-08,24,9,0.84,5.87,7,3,Wednesday
432,2006-03-09,466,154,0.81,5.95,12.5,3,Thursday
433,2006-03-10,2557,711,0.84,5.95,26,3,Friday
434,2006-03-11,716,70,0.84,5.89,7.5,3,Saturday
435,2006-03-12,639,58,0.61,3.32,11,3,Sunday
436,2006-03-13,735,84,0.61,3.34,17,3,Monday
437,2006-03-14,979,107,0.63,3.36,7.5,3,Tuesday
438,2006-03-15,931,255,0.61,3.36,11,3,Wednesday
439,2006-03-16,534,64,0.61,3.36,34,3,Thursday
440,2006-03-17,312,91,0.61,3.34,11,3,Friday
441,2006-03-18,1067,70,0.61,3.35,13,3,Saturday
442,2006-03-19,1398,149,0.72,6.2,17,3,Sunday
443,2006-03-20,823,113,0.72,6.23,25,3,Monday
444,2006-03-21,1125,106,0.72,6.05,11,3,Tuesday
