end_location_lat,end_location_long,driver_rating,car_rating,start_location_long,start_location_lat,color,make
30.2,-97.67,5,2,-97.74,30.29,White,Chevrolet
30.29,-97.72,5,3,-97.71,30.33,Gray,Mercedes-Benz
30.27,-97.75,4,2,-97.75,30.31,Brown,BMW
30.31,-97.75,4,5,-97.75,30.27,Brown,BMW
30.27,-97.8,4,3,-97.76,30.23,Brown,BMW
30.29,-97.74,4,3,-97.71,30.33,Brown,BMW
30.27,-97.75,3,3,-97.74,30.27,Brown,BMW
30.27,-97.74,5,5,-97.74,30.27,Gray,Mercedes-Benz
30.27,-97.74,5,3,-97.74,30.27,Gray,Mercedes-Benz
30.27,-97.75,4,5,-97.74,30.27,Gray,Mercedes-Benz
30.28,-97.75,3,3,-97.75,30.27,Gray,Mercedes-Benz
30.25,-97.75,5,5,-97.78,30.26,Brown,Ford
30.27,-97.75,4,3,-97.74,30.24,Brown,Ford
30.35,-97.75,3,4,-97.74,30.27,Brown,Ford
30.27,-97.76,4,2,-97.72,30.29,White,Chevrolet
30.27,-97.74,4,2,-97.75,30.28,White,Chevrolet
30.32,-97.74,3,5,-97.74,30.3,Silver,BMW
30.28,-97.75,5,3,-97.8,30.27,Brown,BMW
30.27,-97.75,3,5,-97.75,30.26,Brown,BMW
30.27,-97.76,4,2,-97.77,30.29,Brown,Ford
30.26,-97.78,5,4,-97.75,30.25,Brown,Ford
30.27,-97.74,3,5,-97.76,30.3,White,Chevrolet
30.25,-97.75,4,4,-97.72,30.24,White,Chevrolet
30.27,-97.75,5,3,-97.75,30.25,Red,Cadillac
30.27,-97.75,5,4,-97.74,30.27,Silver,Toyota
30.27,-97.74,3,2,-97.75,30.27,Silver,Toyota
30.22,-97.74,3,2,-97.74,30.32,Silver,BMW
30.3,-97.76,5,5,-97.74,30.27,Gray,Mercedes-Benz
30.32,-97.86,3,3,-97.74,30.27,Brown,BMW
30.28,-97.76,3,5,-97.72,30.24,Black,Cadillac
30.2,-97.8,3,5,-97.8,30.2,Gray,Toyota
30.29,-97.75,4,3,-97.74,30.28,White,Nissan
30.23,-97.76,5,2,-97.75,30.28,Black,Ford
30.29,-97.75,3,3,-97.79,30.24,Black,Lexus
30.33,-97.74,5,3,-97.75,30.27,Black,Lexus
30.29,-97.74,3,4,-97.74,30.3,Black,Lexus
30.2,-97.67,5,4,-97.77,30.31,White,Nissan
30.27,-97.74,4,5,-97.75,30.29,Black,Volkswagen
30.27,-97.74,5,5,-97.75,30.27,Black,Volkswagen
30.28,-97.74,3,5,-97.76,30.28,Black,Volkswagen
30.27,-97.74,5,3,-97.75,30.27,Black,Volkswagen
30.24,-97.82,3,4,-97.77,30.25,Gray,Toyota
30.27,-97.75,3,4,-97.82,30.24,Gray,Toyota
30.27,-97.74,5,2,-97.76,30.26,Black,Ford
30.29,-97.72,3,3,-97.74,30.27,Black,Ford
30.3,-97.74,3,3,-97.74,30.29,Black,Ford
30.27,-97.75,5,2,-97.76,30.23,White,Nissan
30.33,-97.72,5,4,-97.74,30.27,White,Nissan
30.31,-97.85,4,5,-97.75,30.27,White,Nissan
30.27,-97.74,5,3,-97.77,30.29,Black,Dodge
30.27,-97.74,4,2,-97.75,30.27,Black,Cadillac
30.27,-97.75,3,4,-97.74,30.27,Black,Cadillac
30.25,-97.77,5,2,-97.75,30.27,Black,Cadillac
30.27,-97.74,5,4,-97.77,30.25,Black,Cadillac
30.28,-97.74,4,4,-97.74,30.28,Gray,Toyota
30.24,-97.72,5,4,-97.74,30.28,Gray,Toyota
30.26,-97.81,4,3,-97.74,30.27,Black,Cadillac
30.25,-97.77,5,5,-97.81,30.26,Black,Cadillac
30.27,-97.74,5,4,-97.72,30.3,Black,Cadillac
30.29,-97.77,3,3,-97.75,30.27,Black,Cadillac
30.33,-97.72,4,2,-97.72,30.33,Gray,Toyota
30.27,-97.74,4,2,-97.72,30.33,Gray,Toyota
30.25,-97.74,5,3,-97.74,30.25,Gray,Toyota
30.26,-97.74,5,3,-97.74,30.25,Gray,Toyota
30.26,-97.74,3,2,-97.74,30.26,Gray,Toyota
30.3,-97.72,4,4,-97.74,30.27,Black,Ford
30.26,-97.76,5,4,-97.77,30.28,Black,Ford
30.27,-97.75,4,2,-97.74,30.27,Black,Cadillac
30.27,-97.74,3,2,-97.69,30.28,Black,Cadillac
30.27,-97.74,3,2,-97.75,30.26,Black,Cadillac
30.27,-97.76,3,2,-97.72,30.29,Black,Dodge
30.26,-97.74,3,5,-97.74,30.25,White,Nissan
30.27,-97.74,4,4,-97.76,30.26,Gray,Toyota
30.28,-97.69,3,3,-97.74,30.26,Black,Cadillac
30.28,-97.74,5,3,-97.75,30.27,Black,Cadillac
30.26,-97.76,3,3,-97.74,30.27,Black,Cadillac
30.26,-97.73,4,4,-97.73,30.29,Black,Dodge
30.26,-97.75,3,2,-97.72,30.27,Black,Dodge
30.28,-97.72,4,2,-97.75,30.26,Black,Dodge
30.26,-97.76,3,2,-97.75,30.27,White,Nissan
30.25,-97.75,4,2,-97.71,30.26,Black,Volkswagen
30.26,-97.73,4,4,-97.74,30.25,Black,Volkswagen
30.27,-97.76,3,2,-97.75,30.27,Black,Cadillac
30.29,-97.74,4,5,-97.67,30.2,Black,Cadillac
30.27,-97.74,4,3,-97.72,30.24,Black,Hyundai
30.26,-97.74,3,4,-97.75,30.27,Black,Cadillac
30.29,-97.73,5,3,-97.74,30.26,Black,Cadillac
30.24,-97.72,3,3,-97.74,30.27,Black,Lexus
30.24,-97.7,3,3,-97.73,30.22,Brown,Ford
30.24,-97.76,5,2,-97.79,30.24,Black,Infiniti
30.24,-97.79,5,3,-97.76,30.24,Black,Infiniti
30.33,-97.71,5,3,-97.79,30.38,Brown,BMW
30.27,-97.74,3,5,-97.72,30.28,Brown,BMW
30.27,-97.74,4,5,-97.71,30.33,Brown,BMW
30.27,-97.74,4,4,-97.75,30.27,Silver,Toyota
30.27,-97.74,5,3,-97.75,30.29,Gray,Mercedes-Benz
30.28,-97.75,5,4,-97.7,30.24,White,Chevrolet
30.28,-97.75,5,4,-97.74,30.27,Brown,BMW
30.27,-97.75,5,4,-97.75,30.28,Brown,BMW
30.27,-97.74,3,2,-97.74,30.27,Brown,BMW
30.27,-97.74,3,5,-97.75,30.28,Red,Cadillac
30.29,-97.75,5,5,-97.74,30.27,Silver,BMW
30.25,-97.75,5,3,-97.75,30.27,Silver,BMW
30.26,-97.74,4,5,-97.73,30.25,Silver,BMW
30.26,-97.74,3,3,-97.75,30.26,Brown,Ford
30.26,-97.72,3,4,-97.82,30.21,Brown,Ford
30.33,-97.71,5,2,-97.74,30.27,White,Chevrolet
30.26,-97.72,5,3,-97.76,30.25,White,Chevrolet
30.27,-97.75,4,5,-97.74,30.27,Black,Lexus
30.25,-97.76,4,3,-97.75,30.27,Gray,Mercedes-Benz
30.27,-97.75,3,4,-97.74,30.27,Gray,Mercedes-Benz
30.26,-97.72,5,2,-97.75,30.27,Gray,Mercedes-Benz
30.27,-97.75,5,3,-97.74,30.25,Black,Lexus
30.33,-97.71,4,5,-97.71,30.33,Brown,BMW
30.2,-97.67,4,3,-97.69,30.28,Black,Infiniti
30.38,-97.79,4,3,-97.71,30.33,Brown,BMW
30.3,-97.74,4,2,-97.75,30.33,Red,Cadillac
30.27,-97.75,3,3,-97.75,30.27,White,Chevrolet
30.26,-97.74,4,2,-97.75,30.27,White,Chevrolet
30.26,-97.74,5,4,-97.72,30.26,Black,Infiniti
30.33,-97.75,3,3,-97.74,30.3,Black,Infiniti
30.26,-97.72,3,3,-97.74,30.27,Brown,Ford
30.21,-97.81,4,5,-97.73,30.26,Brown,Ford
30.31,-97.73,4,2,-97.73,30.26,Brown,Ford
30.27,-97.75,5,2,-97.74,30.26,Brown,Ford
30.27,-97.75,4,5,-97.72,30.26,Brown,Ford
30.26,-97.74,4,5,-97.75,30.27,Silver,Toyota
30.27,-97.75,3,5,-97.75,30.27,Silver,Toyota
30.27,-97.75,3,2,-97.76,30.26,Brown,BMW
30.28,-97.74,4,5,-97.75,30.27,Brown,BMW
30.25,-97.75,4,4,-97.74,30.28,Black,Dodge
30.27,-97.75,4,5,-97.74,30.25,Gray,Mercedes-Benz
30.27,-97.75,4,4,-97.76,30.2,Gray,Mercedes-Benz
30.27,-97.74,4,2,-97.75,30.27,Black,Lexus
30.27,-97.74,3,3,-97.73,30.27,Silver,BMW
30.26,-97.76,4,4,-97.74,30.26,Gray,Mercedes-Benz
30.4,-97.72,4,3,-97.74,30.27,Silver,BMW
30.27,-97.72,5,3,-97.72,30.26,Black,Infiniti
30.27,-97.74,3,3,-97.74,30.29,White,Chevrolet
30.28,-97.74,3,4,-97.75,30.25,Silver,BMW
30.24,-97.74,3,3,-97.74,30.27,Black,Cadillac
30.24,-97.75,5,2,-97.74,30.26,Black,Cadillac
30.34,-97.73,3,3,-97.74,30.27,Gray,Toyota
30.26,-97.77,4,4,-97.74,30.27,Brown,BMW
30.29,-97.73,5,4,-97.74,30.26,Silver,Audi
30.26,-97.73,4,5,-97.72,30.26,Silver,Audi
30.32,-97.73,5,5,-97.74,30.29,Black,Dodge
30.26,-97.76,5,4,-97.75,30.27,Black,Dodge
30.35,-97.75,5,5,-97.73,30.26,Silver,Audi
30.29,-97.76,3,5,-97.74,30.28,Red,Cadillac
30.21,-97.75,5,4,-97.76,30.26,Black,Dodge
30.25,-97.77,3,5,-97.75,30.3,White,Nissan
30.29,-97.7,4,3,-97.72,30.28,Black,Cadillac
30.28,-97.75,5,4,-97.75,30.27,Silver,Toyota
30.25,-97.76,5,4,-97.78,30.26,Silver,BMW
30.27,-97.72,5,4,-97.7,30.29,Black,Kia
30.27,-97.75,4,2,-97.75,30.27,Black,Cadillac
30.26,-97.74,4,5,-97.75,30.27,Black,Cadillac
30.27,-97.74,4,4,-97.74,30.24,Black,Cadillac
30.25,-97.75,5,5,-97.74,30.27,Brown,BMW
30.27,-97.74,4,3,-97.75,30.25,Brown,Ford
30.26,-97.74,5,5,-97.71,30.25,Black,Cadillac
30.26,-97.75,3,4,-97.75,30.27,Black,Volkswagen
30.26,-97.75,3,5,-97.75,30.27,Black,Volkswagen
30.2,-97.77,5,2,-97.75,30.28,Black,Ford
30.28,-97.72,5,5,-97.74,30.27,White,Chevrolet
30.25,-97.76,4,4,-97.75,30.27,White,Chevrolet
30.31,-97.98,3,5,-97.74,30.3,Red,Cadillac
30.27,-97.74,5,2,-97.75,30.29,White,Nissan
30.27,-97.74,4,3,-97.75,30.29,Black,Cadillac
30.27,-97.75,4,4,-97.75,30.26,Black,Cadillac
30.29,-97.8,3,4,-97.74,30.26,Black,Cadillac
30.26,-97.76,3,3,-97.76,30.25,Black,Cadillac
30.25,-97.74,5,5,-97.76,30.23,Black,Cadillac
30.27,-97.75,5,2,-97.75,30.25,Brown,Ford
30.26,-97.77,3,2,-97.74,30.27,Brown,Ford
30.26,-97.74,3,2,-97.75,30.26,Brown,Ford
30.27,-97.74,3,3,-97.74,30.26,Black,Cadillac
30.26,-97.74,4,3,-97.75,30.25,Black,Cadillac
30.27,-97.74,5,5,-97.75,30.35,Black,Hyundai
30.32,-97.72,5,3,-97.72,30.26,Black,Dodge
30.25,-97.71,5,4,-97.74,30.26,Gray,Toyota
30.26,-97.76,5,5,-97.75,30.29,Black,Lexus
30.25,-97.76,5,2,-97.76,30.26,Brown,BMW
30.25,-97.75,5,4,-97.75,30.27,Brown,BMW
30.27,-97.75,5,5,-97.75,30.27,Brown,BMW
30.36,-97.73,5,3,-97.72,30.27,Black,Hyundai
30.26,-97.76,5,5,-97.74,30.29,White,Chevrolet
30.27,-97.74,3,3,-97.75,30.27,White,Chevrolet
30.27,-97.75,4,4,-97.75,30.27,White,Chevrolet
30.29,-97.75,4,4,-97.74,30.27,White,Chevrolet
30.27,-97.75,4,5,-97.74,30.26,Gray,Toyota
30.3,-97.71,3,5,-97.74,30.27,Gray,Toyota
30.25,-97.74,4,5,-97.72,30.32,Silver,Audi
30.27,-97.74,5,3,-97.76,30.26,Black,Infiniti
30.29,-97.75,5,4,-97.76,30.26,Silver,BMW
30.26,-97.75,5,5,-97.78,30.25,Brown,Ford
30.27,-97.74,4,4,-97.72,30.28,Black,Hyundai
30.29,-97.74,4,4,-97.74,30.27,Black,Dodge
30.27,-97.74,5,4,-97.74,30.29,Brown,Ford
30.25,-97.78,4,3,-97.75,30.27,Silver,Toyota
30.26,-97.76,5,3,-97.74,30.27,Black,Cadillac
30.25,-97.75,5,2,-97.74,30.28,Red,Cadillac
30.29,-97.75,3,2,-97.74,30.27,White,Chevrolet
30.27,-97.74,4,3,-97.71,30.3,Black,Ford
30.26,-97.73,4,4,-97.72,30.27,Black,Ford
30.27,-97.75,5,2,-97.75,30.27,Black,Infiniti
30.26,-97.76,4,3,-97.76,30.25,Black,Infiniti
30.36,-97.73,5,3,-97.74,30.27,Black,Cadillac
30.26,-97.76,5,2,-97.74,30.29,Brown,BMW
30.29,-97.74,3,5,-97.76,30.26,Silver,BMW
30.26,-97.73,3,4,-97.74,30.27,Black,Cadillac
30.27,-97.74,4,3,-97.76,30.27,Red,Cadillac
30.3,-97.74,4,3,-97.74,30.27,Black,Cadillac
30.27,-97.74,4,4,-97.75,30.27,Brown,BMW
30.26,-97.76,5,2,-97.75,30.27,Brown,BMW
30.28,-97.74,5,4,-97.75,30.27,Brown,BMW
30.27,-97.74,3,4,-97.75,30.27,Brown,BMW
30.27,-97.75,3,5,-97.76,30.26,Black,Cadillac
30.27,-97.74,5,2,-97.72,30.28,Black,Cadillac
30.27,-97.74,4,4,-97.75,30.25,Gray,Mercedes-Benz
30.27,-97.73,3,3,-97.74,30.27,Black,Kia
30.27,-97.74,5,4,-97.73,30.27,White,Chevrolet
30.25,-97.75,5,2,-97.74,30.27,Silver,BMW
30.27,-97.74,3,3,-97.75,30.25,Black,Infiniti
30.27,-97.75,4,4,-97.74,30.27,Black,Infiniti
30.27,-97.75,4,4,-97.74,30.27,White,Chevrolet
30.27,-97.74,3,3,-97.75,30.27,White,Chevrolet
30.27,-97.75,5,4,-97.73,30.4,White,Chevrolet
30.25,-97.76,3,2,-97.79,30.24,Gray,Mercedes-Benz
30.25,-97.75,5,3,-97.74,30.27,Black,Cadillac
30.28,-97.75,4,3,-97.75,30.27,Brown,BMW
30.27,-97.77,5,2,-97.76,30.25,Red,Cadillac
30.2,-97.67,5,3,-97.78,30.26,Black,Ford
30.29,-97.72,5,3,-97.72,30.32,Black,Ford
30.27,-97.74,5,4,-97.74,30.3,Black,Ford
30.27,-97.74,4,4,-97.75,30.27,Black,Volkswagen
30.27,-97.74,4,4,-97.75,30.27,Black,Volkswagen
30.27,-97.74,4,5,-97.76,30.25,Black,Cadillac
30.27,-97.75,4,5,-97.76,30.23,Black,Cadillac
30.28,-97.75,4,5,-97.75,30.27,Black,Volkswagen
30.31,-97.74,5,2,-97.74,30.28,Black,Volkswagen
30.27,-97.8,3,4,-97.75,30.28,Black,Cadillac
30.31,-97.77,4,3,-97.67,30.2,Gray,Toyota
30.27,-97.75,5,3,-97.74,30.27,Gray,Toyota
30.24,-97.75,4,2,-97.74,30.27,Gray,Toyota
30.23,-97.76,4,4,-97.75,30.24,Gray,Toyota
30.2,-97.67,3,3,-97.76,30.27,Silver,Audi
30.28,-97.74,5,5,-97.74,30.31,Silver,Audi
30.2,-97.67,5,5,-97.72,30.29,Black,Cadillac
30.26,-97.77,3,2,-97.77,30.26,Black,Dodge
30.26,-97.76,5,2,-97.76,30.26,Black,Dodge
30.2,-97.77,3,4,-97.79,30.28,Black,Dodge
30.27,-97.74,5,5,-97.76,30.26,Black,Dodge
30.27,-97.74,3,4,-97.76,30.25,Silver,BMW
30.28,-97.74,4,5,-97.74,30.27,Black,Infiniti
30.27,-97.75,5,5,-97.75,30.27,Brown,BMW
30.27,-97.74,3,3,-97.75,30.27,Brown,BMW
30.29,-97.72,4,4,-97.74,30.27,Brown,BMW
30.27,-97.76,3,3,-97.75,30.24,Silver,BMW
30.32,-97.74,5,5,-97.75,30.27,Silver,BMW
30.46,-97.83,4,3,-97.75,30.27,Black,Infiniti
30.24,-97.75,3,4,-97.75,30.28,Gray,Mercedes-Benz
30.27,-97.74,4,2,-97.74,30.27,Gray,Mercedes-Benz
30.28,-97.75,3,2,-97.74,30.27,Gray,Mercedes-Benz
30.28,-97.75,5,2,-97.76,30.24,Brown,BMW
30.33,-97.71,3,4,-97.74,30.27,Silver,BMW
30.25,-97.73,3,2,-97.76,30.28,Black,Infiniti
30.27,-97.74,3,5,-97.74,30.3,Brown,BMW
30.27,-97.75,4,4,-97.75,30.27,Brown,BMW
30.27,-97.74,5,3,-97.77,30.26,Black,Dodge
30.27,-97.75,3,3,-97.75,30.25,Black,Dodge
30.24,-97.78,3,5,-97.77,30.25,Black,Dodge
30.26,-97.81,5,3,-97.72,30.31,Black,Dodge
30.29,-97.75,3,2,-97.74,30.27,White,Nissan
30.29,-97.74,5,4,-97.75,30.29,White,Nissan
30.2,-97.67,5,3,-97.77,30.3,Black,Toyota
30.27,-97.74,3,5,-97.74,30.27,Black,Infiniti
30.26,-97.76,3,2,-97.73,30.25,Black,Infiniti
30.27,-97.75,5,3,-97.73,30.27,Gray,Toyota
30.27,-97.74,3,4,-97.75,30.27,Black,Infiniti
30.26,-97.73,5,3,-97.75,30.25,Black,Lexus
30.27,-97.74,5,5,-97.74,30.27,Black,Lexus
30.27,-97.74,4,2,-97.74,30.27,Black,Lexus
30.27,-97.76,3,4,-97.75,30.27,Black,Lexus
30.2,-97.67,4,5,-97.74,30.26,Black,Lexus
30.2,-97.67,5,5,-97.74,30.27,Black,Lexus
30.28,-97.73,4,5,-97.74,30.27,Black,Lexus
30.27,-97.74,4,2,-97.74,30.29,White,Tesla
30.27,-97.74,5,5,-97.75,30.27,White,Nissan
30.26,-97.73,3,2,-97.74,30.28,Black,Infiniti
30.29,-97.74,3,4,-97.74,30.27,Black,Infiniti
30.2,-97.67,3,3,-97.72,30.28,Black,Infiniti
30.27,-97.74,5,3,-97.75,30.25,Black,Cadillac
30.27,-97.73,4,3,-97.75,30.27,Black,Cadillac
30.28,-97.75,5,5,-97.74,30.27,Black,Cadillac
30.27,-97.75,5,3,-97.74,30.26,Black,Cadillac
30.26,-97.73,5,2,-97.74,30.27,Gray,Audi
30.28,-97.74,3,2,-97.77,30.29,Black,Kia
30.27,-97.75,4,2,-97.75,30.27,White,Nissan
30.26,-97.75,5,2,-97.75,30.27,White,BMW
30.25,-97.7,5,5,-97.74,30.27,White,BMW
30.29,-97.74,5,4,-97.67,30.2,White,BMW
30.29,-97.77,3,2,-97.74,30.28,White,BMW
30.25,-97.76,5,2,-97.78,30.24,Black,Jeep
30.28,-97.74,4,2,-97.75,30.29,Black,Jeep
30.29,-97.73,5,4,-97.74,30.27,White,Nissan
30.26,-97.74,5,3,-97.76,30.29,White,Nissan
30.28,-97.75,5,3,-97.75,30.27,Black,Cadillac
30.27,-97.74,4,2,-97.75,30.26,Black,Cadillac
30.27,-97.78,5,2,-97.67,30.2,Black,Toyota
30.3,-97.74,3,3,-97.74,30.27,Gray,Toyota
30.24,-97.75,5,2,-97.74,30.3,Gray,Toyota
30.26,-97.74,5,3,-97.75,30.27,White,Tesla
30.27,-97.74,3,5,-97.74,30.27,Black,Cadillac
30.3,-97.83,3,2,-97.74,30.26,White,Tesla
30.21,-97.76,3,3,-97.75,30.28,Black,Cadillac
30.35,-97.7,4,5,-97.74,30.27,Brown,BMW
30.31,-97.75,3,5,-97.74,30.28,Brown,BMW
30.25,-97.76,5,4,-97.74,30.27,Silver,Toyota
30.26,-97.74,5,2,-97.76,30.27,Silver,Toyota
30.2,-97.67,5,2,-97.74,30.27,Silver,Toyota
30.26,-97.74,3,2,-97.74,30.27,Silver,Toyota
30.27,-97.75,3,2,-97.67,30.2,Black,Dodge
30.27,-97.75,5,3,-97.76,30.26,Black,Jeep
30.27,-97.75,3,5,-97.75,30.27,Black,Jeep
30.27,-97.76,3,3,-97.74,30.26,Black,Jeep
30.28,-97.76,4,4,-97.74,30.27,Black,Jeep
30.27,-97.75,3,3,-97.75,30.29,Black,Jeep
30.3,-97.71,4,2,-97.73,30.29,Black,Lexus
30.29,-97.74,5,3,-97.76,30.26,Black,Cadillac
30.25,-97.73,3,3,-97.77,30.29,Black,Cadillac
30.27,-97.75,3,5,-97.74,30.27,Black,Cadillac
30.27,-97.76,5,5,-97.74,30.27,White,Nissan
30.23,-97.7,5,3,-97.75,30.26,White,Nissan
30.27,-97.74,4,5,-97.72,30.26,White,Nissan
30.26,-97.72,3,5,-97.75,30.26,White,Nissan
30.27,-97.74,5,5,-97.78,30.23,Black,Cadillac
30.27,-97.74,4,5,-97.74,30.25,Black,Cadillac
30.26,-97.74,4,4,-97.7,30.27,Gray,Ford
30.27,-97.75,4,5,-97.67,30.2,Black,Infiniti
30.26,-97.74,3,3,-97.74,30.27,White,Chevrolet
30.27,-97.72,4,3,-97.74,30.27,White,Chevrolet
30.3,-97.77,3,3,-97.74,30.27,White,Chevrolet
30.2,-97.67,5,3,-97.79,30.24,Black,Audi
30.27,-97.74,5,2,-97.75,30.29,Brown,Mazda
30.28,-97.72,4,5,-97.75,30.25,Brown,Mazda
30.25,-97.77,3,4,-97.67,30.2,Black,Toyota
30.26,-97.74,3,3,-97.77,30.29,Gray,Ford
30.24,-97.76,5,4,-97.74,30.26,Brown,Mazda
30.31,-97.71,3,4,-97.74,30.28,Brown,BMW
30.28,-97.72,3,2,-97.75,30.27,Gray,Ford
30.26,-97.76,4,3,-97.74,30.24,Black,Nissan
30.27,-97.75,3,4,-97.74,30.28,Black,Cadillac
30.29,-97.75,5,5,-97.75,30.29,Black,Jeep
30.27,-97.76,3,3,-97.74,30.28,Black,Jeep
30.26,-97.76,4,4,-97.78,30.23,White,Nissan
30.24,-97.75,4,5,-97.73,30.29,White,Nissan
30.28,-97.75,5,2,-97.75,30.27,White,Nissan
30.27,-97.75,3,4,-97.77,30.28,White,Chevrolet
30.33,-97.75,4,4,-97.67,30.2,Black,Audi
30.31,-97.75,4,4,-97.75,30.25,Gray,Ford
30.27,-97.74,5,4,-97.75,30.27,Gray,Ford
30.25,-97.75,5,4,-97.77,30.26,Gray,Ford
30.26,-97.72,5,3,-97.73,30.27,Gray,Ford
30.14,-97.8,5,3,-97.75,30.27,Silver,Lexus
30.27,-97.75,5,5,-97.74,30.28,Brown,Mazda
30.27,-97.74,4,3,-97.75,30.27,Brown,Mazda
30.27,-97.75,5,5,-97.78,30.3,Black,Nissan
30.27,-97.75,4,4,-97.77,30.25,Black,Nissan
30.27,-97.75,4,3,-97.76,30.27,Black,Nissan
30.27,-97.75,3,4,-97.74,30.27,Black,Nissan
30.26,-97.73,5,3,-97.77,30.29,Black,Nissan
30.25,-97.72,3,3,-97.77,30.3,Black,Cadillac
30.26,-97.74,4,2,-97.73,30.25,Black,Cadillac
